Region|SoateRegion|Raion|SoateRaion7|Scm_Code|Scm_NewCode|NewName|Age|Total|men|women|visitTotal|VisitMen|VisitWomen|mhi
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|0|407|181|226|1580|794|768|407
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|1|616|309|307|477|224|242|616
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|2|641|332|309|263|130|114|641
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|3|649|328|321|118|66|39|648
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|4|807|425|382|95|39|33|806
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|5|675|336|339|126|65|49|675
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|6|805|408|397|182|90|80|804
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|7|823|465|358|67|35|23|821
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|8|850|445|405|54|14|22|850
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|9|871|469|402|43|16|14|871
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|10|794|378|416|114|55|45|794
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|11|737|382|355|112|56|49|737
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|12|746|376|370|34|12|14|746
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|13|674|351|323|58|21|24|674
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|14|626|327|299|44|13|11|626
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|15|609|320|289|89|33|38|609
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|16|514|273|241|98|36|32|513
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|17|538|266|272|93|4|10|534
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|18|549|286|263|87|3|21|395
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|19|495|248|247|83|8|36|129
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|20|455|248|207|126|1|91|28
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|21|488|240|248|116|6|85|46
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|22|440|257|183|169|5|128|57
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|23|484|246|238|158|6|96|95
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|24|457|236|221|136|8|99|114
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|25|452|236|216|169|29|100|127
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|26|461|254|207|176|16|105|138
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|27|447|232|215|150|10|101|184
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|28|426|219|207|115|9|65|194
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|29|429|220|209|188|4|123|211
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|30|408|197|211|122|7|76|220
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|31|415|196|219|161|5|107|208
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|32|486|272|214|123|6|79|235
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|33|383|195|188|143|6|93|219
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|34|444|231|213|150|5|86|244
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|35|375|190|185|111|16|59|193
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|36|382|221|161|110|17|55|180
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|37|393|203|190|90|5|47|209
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|38|339|172|167|82|13|27|181
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|39|359|179|180|48|6|12|192
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|40|292|148|144|60|6|26|146
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|41|310|145|165|62|6|30|158
Баткенская область|4170500000000000|Баткенский район|41705214000000000|5070|512871|ЦОВП "САМАРКАНДЕК"|42|276|155|121|71|4|36|118
