Код	Полное наименование	Короткое наименование	Регион	Район	Улица
203471	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТОРУ-АЙГЫР"""	"ФАП ""ТОРУ-АЙГЫР"""	Иссык-Кульская	Иссык-Кульский	
615361	ТАЛДЫ-СУУЙСКИЙ ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ	ФТБ ТАЛДЫ-СУУЙСКИЙ	Ошская	Алайский	
617711	"ФИЛИАЛ АЛАЙСКОЙ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ ""САРЫ-МОГОЛ"""	ФТБ САРЫ-МОГОЛ	Ошская	Алайский	
618511	ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ НУРА	ФТБ НУРА	Ошская	Алайский	
100821	РЕСПУБЛИКАНСКИЙ ЦЕНТР КАРАНТИННЫХ И ОСОБО ОПАСНЫХ ИНФЕКЦИЙ	РЕСПУБ ЦЕНТР КАРАН и ОСОБО ОПАСНЫХ ИНФЕК	Бишкек	Первомайский	Скрябина
411561	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КУМ-ДЕБЕ"""	"ГСВ ""КУМ-ДЕБЕ"""	Нарынская	Кочкорский	О.Алиев
412141	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КЫЗЫЛ-ТУУ"""	"ГСВ ""КЫЗЫЛ-ТУУ"""	Нарынская	Жумгальский	ул.Ниязалы уулу Субанбек
305451	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРА-СУУ"""	"ФАП ""КАРА-СУУ"""	Джалал-Абадская	Аксыйский	
410671	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖЫЛАН-АРЫК"""	"ФАП ""ЖЫЛАН-АРЫК"""	Нарынская	Нарынский	
620151	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ТОГОТОЙ"""	"ГСВ №17  ""ТОГОТОЙ"""	Ошская	Кара-Кулжинский	
620161	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КАРА-КОЧКОР""""(С КОЙКАМИ)"""	"ГСВ №16 ""КАРА-КОЧКОР"""	Ошская	Кара-Кулжинский	
620331	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6	ГСВ №6	Ошская	Араванский	
620321	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5	ГСВ №5	Ошская	Араванский	
411591	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ДЖЕРГЕТАЛ"""	"ГСВ ""ДЖЕРГЕТАЛ"""	Нарынская	Нарынский	
101971	РЕСПУБЛИКАНСКИЙ ДИАГНОСТИЧЕСКО - ЛЕЧЕБНЫЙ ЦЕНТР	РДЛЦ	Бишкек	Первомайский	
343081	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТАШ-ЖАР"""	"ФАП ""ТАШ-ЖАР"""	Джалал-Абадская	Аксыйский	0
514201	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРООЛ"""	"ФАП ""КАРООЛ"""	Баткенская	Кадамжайский	
305671	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""УСТУКАН"""	"ФАП ""УСТУКАН"""	Джалал-Абадская	Аксыйский	
823161	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КАНТ"""	"ГСВ ""КАНТ"""	Чуйская	Ысык-Атинский	
