Region;Region COATE;rayon;rayon COATE;code of the health facility;name of the heath facility;Full name of the organization;age;male (population);female (population);total population;insured male (population);insured female (population);insured total population;male visits;female visits;total visits;insured male visits;insured female visits;status of insuarance in visits 
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;0;1006;960;1966;1006;960;1966;9255;8257;17512;9255;8257;17512
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;1;1223;1164;2387;1223;1164;2387;4117;3346;7463;4117;3346;7463
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;2;1280;1260;2540;1280;1260;2540;2526;2227;4753;2526;2227;4753
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;3;1284;1280;2564;1284;1280;2564;1446;1182;2628;1446;1182;2628
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;4;1191;1289;2480;1191;1289;2480;1326;1109;2435;1326;1109;2435
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;5;1248;1286;2534;1248;1286;2534;1495;1175;2670;1495;1175;2670
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;6;1295;1494;2789;1295;1494;2789;1497;1299;2796;1497;1299;2796
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;7;1186;1390;2576;1186;1390;2576;743;616;1359;743;616;1359
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;8;1261;1453;2714;1261;1453;2714;604;626;1230;604;626;1230
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;9;1200;1434;2634;1200;1434;2634;572;476;1048;572;476;1048
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;10;1144;1590;2734;1144;1590;2734;616;671;1287;616;671;1287
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;11;1127;1417;2544;1127;1417;2544;678;974;1652;678;974;1652
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;12;1002;1401;2403;1002;1401;2403;367;416;783;367;416;783
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;13;1015;1360;2375;1015;1360;2375;457;429;886;457;429;886
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;14;979;1308;2287;979;1308;2287;462;472;934;462;472;934
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;15;936;1103;2039;936;1103;2039;915;653;1568;915;653;1568
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;16;827;941;1768;827;941;1768;1038;896;1934;1001;852;1853
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;17;820;945;1765;781;896;1677;1284;1156;2440;1132;991;2123
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;18;673;808;1481;616;738;1354;967;1071;2038;704;813;1517
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;19;643;660;1303;259;338;597;767;882;1649;128;285;413
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;20;673;577;1250;21;78;99;712;923;1635;30;254;284
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;21;632;566;1198;26;78;104;632;962;1594;13;247;260
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;22;659;557;1216;62;128;190;684;1355;2039;93;454;547
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;23;653;666;1319;59;261;320;566;1244;1810;45;512;557
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;24;629;594;1223;65;223;288;601;1439;2040;58;613;671
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;25;793;668;1461;112;246;358;632;1628;2260;100;749;849
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;26;736;682;1418;98;254;352;637;1472;2109;118;717;835
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;27;751;624;1375;103;287;390;567;1363;1930;148;776;924
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;28;748;683;1431;146;325;471;665;1520;2185;171;883;1054
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;29;751;669;1420;200;369;569;677;1452;2129;244;965;1209
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;30;768;754;1522;327;444;771;510;1529;2039;291;1079;1370
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;31;735;730;1465;324;483;807;618;1467;2085;296;1072;1368
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;32;706;689;1395;329;445;774;467;1302;1769;222;942;1164
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;33;746;707;1453;332;440;772;551;1356;1907;293;1062;1355
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;34;776;720;1496;374;463;837;625;1290;1915;337;979;1316
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;35;707;685;1392;342;455;797;487;1269;1756;227;961;1188
Баткенская обл.;4170500000000000;Баткенский р-н;41705214000000000;542101;БОЦСМ;Баткенский областной Центр семейной медицины;36;619;662;1281;288;454;742;584;1336;1920;326;993;1319
